Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Analytics,GO,8,7.16E-05,0,0,0,0,,,,
Python,DataScience,1,0.00462963,0,0,0,0,,,,
ProjectManagement,CustomerSupport,4,0.001002506,0,0,0,0,,,,
Design,Modeling,1,6.59E-06,0,0,0,0,,,,
CRM,Database,3,2.91E-05,0,0,0,0,,,,
Analytics,Oracle,6,1.48E-04,0,0,0,0,,,,
BusinessIntelligence,DataWarehouse,4,3.54E-04,0,0,0,0,,,,
Analyst,Hadoop,3,4.77E-06,0,0,0,0,,,,
Analysis,ProjectManagement,30,4.63E-04,0,0,0,0,,,,
Analytics,Network,4,5.68E-06,0,0,0,0,,,,
Development,C+,1,1.37E-04,0,0,0,0,,,,
Excel,BusinessAnalytic,3,0.002479339,0,0,0,0,,,,
Adobe,Java,3,0.01,0,0,0,0,,,,
Development,Administrator,6,2.91E-05,0,0,0,0,,,,
Developer,DataWarehouse,1,8.57E-05,0,0,0,0,,,,
Development,ETL,3,1.29E-05,0,0,0,0,,,,
SQL,UML,1,1.83E-04,0,0,0,0,,,,
Marketing,DataVisualization,1,9.47E-05,0,0,0,0,,,,
Analyst,SPSS,18,4.55E-05,0,0,0,0,,,,
Agile,Visio,4,0.007459207,0,0,0,0,,,,
SQL,JavaScript,4,1.22E-04,0,0,0,0,,,,
Design,Prototype,2,7.91E-04,0,0,0,0,,,,
Reporting,Modeling,2,1.74E-05,0,0,0,0,,,,
MapReduce,BigData,1,0.004464286,0,0,0,0,,,,
Analytics,Agile,1,1.41E-06,0,0,0,0,,,,
CRM,UserInterface,1,7.35E-04,0,0,0,0,,,,
